study,trial,state,batch_size,objective,last_epoch,prune_epoch,duration_seconds
warmup=0,0,COMPLETE,256,0.5273468036494083,100,nan,420.468571
warmup=0,1,COMPLETE,1024,0.5272941724798933,100,nan,599.72788
warmup=0,2,COMPLETE,256,0.5255138736458359,100,nan,798.846455
warmup=0,3,COMPLETE,256,0.5247248536739683,100,nan,754.200946
warmup=0,4,COMPLETE,512,0.5252722930850142,100,nan,294.872651
warmup=0,5,PRUNED,1024,0.5292403997314884,17,17,103.738014
warmup=0,6,PRUNED,512,0.5527942568067423,1,1,33.704725
warmup=0,7,PRUNED,1024,0.5758486694000103,1,1,5.390722
warmup=0,8,PRUNED,1024,0.5691168869833533,1,1,4.935691
warmup=0,9,PRUNED,256,0.5630913481498281,1,1,10.034209
warmup=0,10,PRUNED,128,0.5412086860276853,2,2,39.543538
warmup=0,11,PRUNED,512,0.6104311154224408,1,1,3.773414
warmup=0,12,PRUNED,512,0.5399334315545511,2,2,9.687707
warmup=0,13,PRUNED,128,0.5523928015210336,1,1,25.439247
warmup=0,14,PRUNED,512,0.5595209805920208,1,1,2.053838
warmup=0,15,PRUNED,256,0.566478996008047,1,1,8.399933
warmup=0,16,PRUNED,512,0.6054727673934858,1,1,5.919831
warmup=0,17,PRUNED,256,0.5418690195761761,2,2,27.438284
warmup=0,18,PRUNED,128,0.5383097616545807,3,3,37.970456
warmup=0,19,PRUNED,512,0.5604367449239538,1,1,2.657867
warmup=0,20,PRUNED,256,0.537998545960353,3,3,46.945535
warmup=0,21,PRUNED,256,0.540419412775466,2,2,16.3454
warmup=0,22,PRUNED,256,0.5358353808121465,4,4,35.944487
warmup=0,23,PRUNED,256,0.5367962483424309,3,3,26.934809
warmup=0,24,PRUNED,256,0.561380948809316,1,1,9.527131
warmup=0,25,PRUNED,256,0.5423192215812862,2,2,13.942305
warmup=0,26,PRUNED,512,0.5363479416323433,3,3,31.893459
warmup=0,27,PRUNED,128,0.5689510290833071,1,1,15.174007
warmup=0,28,COMPLETE,256,0.5260579714104318,100,nan,758.217776
warmup=0,29,PRUNED,256,0.5347477655273298,4,4,17.057973
warmup=0,30,PRUNED,512,0.5507589085757,1,1,4.710411
warmup=0,31,COMPLETE,256,0.5258875641084199,100,nan,710.075402
warmup=0,32,PRUNED,256,0.5354859010334628,4,4,34.844468
warmup=0,33,PRUNED,256,0.5493061467766334,1,1,7.509568
warmup=0,34,PRUNED,1024,0.5493730701635282,1,1,3.71065
warmup=0,35,PRUNED,256,0.5283204910641932,13,13,68.699129
warmup=0,36,PRUNED,1024,0.553422940584524,1,1,2.085149
warmup=0,37,PRUNED,256,0.5491314443107391,1,1,24.48454
warmup=0,38,PRUNED,256,0.5510690516431025,1,1,13.01652
warmup=0,39,PRUNED,1024,0.5568485357355146,1,1,3.564971
warmup=0,40,PRUNED,512,0.565576111976834,1,1,2.504941
warmup=0,41,COMPLETE,256,0.5254166906418852,100,nan,728.48638
warmup=0,42,PRUNED,256,0.5394629515894296,2,2,18.99306
warmup=0,43,PRUNED,256,0.5499301098659455,1,1,7.036385
warmup=0,44,PRUNED,128,0.5375101373383856,3,3,34.053127
warmup=0,45,PRUNED,256,0.5574036640324314,1,1,7.673346
warmup=0,46,PRUNED,512,0.5418438430010958,2,2,8.874695
warmup=0,47,PRUNED,256,0.5589135363786002,1,1,5.806982
warmup=0,48,PRUNED,256,0.5666869779941854,1,1,27.533431
warmup=0,49,PRUNED,512,0.5604842074633855,1,1,2.427235
warmup=0,50,PRUNED,1024,0.5483368688669132,1,1,2.138276
warmup=0,51,PRUNED,256,0.5362274307872137,3,3,22.006106
warmup=0,52,PRUNED,256,0.5344775886511133,4,4,26.958802
warmup=0,53,PRUNED,256,0.53619822967907,3,3,24.193303
warmup=0,54,PRUNED,256,0.5353587087133466,4,4,47.127835
warmup=0,55,PRUNED,128,0.5488223588870387,1,1,16.555881
warmup=0,56,PRUNED,256,0.570784656893929,1,1,8.397315
warmup=0,57,PRUNED,256,0.5479972631457595,1,1,6.281917
warmup=0,58,PRUNED,512,0.5400743187905248,2,2,7.73214
warmup=0,59,PRUNED,256,0.5480734335463445,1,1,9.148585
warmup=0,60,PRUNED,256,0.5369695463225516,3,3,27.711408
warmup=0,61,PRUNED,1024,0.5646534436331913,1,1,4.939905
warmup=0,62,PRUNED,1024,0.5563491774745373,1,1,5.749832
warmup=0,63,PRUNED,1024,0.5648949377427062,1,1,5.692273
warmup=0,64,PRUNED,1024,0.5518252588674867,1,1,2.607259
warmup=0,65,PRUNED,512,0.5388781750385747,2,2,15.484447
warmup=0,66,PRUNED,128,0.5616995660319778,1,1,18.030274
warmup=0,67,PRUNED,256,0.5358544751510158,4,4,37.185885
warmup=0,68,PRUNED,256,0.5564446659022055,1,1,7.851998
warmup=0,69,PRUNED,1024,0.5566473575411686,1,1,8.754751
warmup=0,70,PRUNED,512,0.6218418530285035,1,1,5.471859
warmup=0,71,PRUNED,256,0.5373162746639963,4,4,16.077762
warmup=0,72,PRUNED,256,0.5284291131828863,13,13,66.208881
warmup=0,73,PRUNED,256,0.5344364094967239,4,4,21.658357
warmup=0,74,PRUNED,256,0.5524201359896794,1,1,4.159789
warmup=0,75,PRUNED,256,0.5535473535671337,1,1,7.491226
warmup=0,76,PRUNED,256,0.556387718507088,1,1,3.285975
warmup=0,77,PRUNED,256,0.5347845317047508,4,4,29.89907
warmup=0,78,PRUNED,512,0.5510611332425084,1,1,3.785392
warmup=0,79,PRUNED,128,0.5420588711927926,3,3,31.506882
warmup=0,80,PRUNED,256,0.5367988059229426,3,3,15.841928
warmup=0,81,PRUNED,1024,0.5515658216530184,1,1,3.424046
warmup=0,82,PRUNED,1024,0.5566729369314953,1,1,2.144268
warmup=0,83,PRUNED,1024,0.5508749621729828,1,1,13.464425
warmup=0,84,PRUNED,1024,0.5521083312581798,1,1,6.98558
warmup=0,85,PRUNED,256,0.5387243917152283,2,2,28.05075
warmup=0,86,PRUNED,1024,0.5625993990918782,1,1,1.43588
warmup=0,87,PRUNED,512,0.5517636797865879,1,1,2.570889
warmup=0,88,PRUNED,256,0.5362331158835021,3,3,25.517108
warmup=0,89,PRUNED,256,0.5346019726356004,4,4,37.616466
warmup=0,90,PRUNED,256,0.5397202703472964,2,2,20.525683
warmup=0,91,PRUNED,256,0.5289523478361029,13,13,72.293009
warmup=0,92,PRUNED,256,0.5282359757035937,13,13,69.749105
warmup=0,93,PRUNED,256,0.5571435175888633,1,1,5.473837
warmup=0,94,PRUNED,256,0.5347635581092639,4,4,24.297323
warmup=0,95,PRUNED,256,0.5479177244823604,1,1,4.163058
warmup=0,96,PRUNED,1024,0.5967480370361137,1,1,2.16872
warmup=0,97,PRUNED,128,0.5394296753178305,3,3,63.028219
warmup=0,98,PRUNED,512,0.5527736886972228,1,1,4.790162
warmup=0,99,PRUNED,256,0.5505850445971723,1,1,10.458374
warmup=10,0,COMPLETE,256,0.5273468036494083,100,nan,419.532541
warmup=10,1,COMPLETE,1024,0.5272941724798933,100,nan,641.342247
warmup=10,2,COMPLETE,256,0.5255138736458359,100,nan,821.307533
warmup=10,3,COMPLETE,256,0.5247248536739683,100,nan,788.353052
