trial,same_parameters,warmup0_state,warmup10_state,warmup0_objective,warmup10_objective,warmup0_last_epoch,warmup10_last_epoch
0,True,COMPLETE,COMPLETE,0.5273468036494083,0.5273468036494083,100,100
1,True,COMPLETE,COMPLETE,0.5272941724798933,0.5272941724798933,100,100
2,True,COMPLETE,COMPLETE,0.5255138736458359,0.5255138736458359,100,100
3,True,COMPLETE,COMPLETE,0.5247248536739683,0.5247248536739683,100,100
4,True,COMPLETE,COMPLETE,0.5252722930850142,0.5252722930850142,100,100
5,True,PRUNED,PRUNED,0.5292403997314884,0.5292403997314884,17,17
6,True,PRUNED,PRUNED,0.5527942568067423,0.5297703411576236,1,13
7,True,PRUNED,PRUNED,0.5758486694000103,0.5292298858594665,1,17
8,True,PRUNED,PRUNED,0.5691168869833533,0.5377832847897392,1,11
9,True,PRUNED,PRUNED,0.5630913481498281,0.5352020093234491,1,11
